phase,question,trialNum,swatch,response,responseCoded,rt,subid,dateOfBirth,dateOfTest,age,timeOfTest,condition,englishExposure,gender,trialComments,sessionComments
practice,NA,-3,apple_1,skip,NaN,13891,k08,1/5/11,3/13/15,4.18630137,14:15,set1,always,female,,
practice,NA,-2,apple_2,skip,NaN,3231,k08,1/5/11,3/13/15,4.18630137,14:15,set1,always,female,,
practice,NA,-1,apple_3,skip,NaN,5369,k08,1/5/11,3/13/15,4.18630137,14:15,set1,always,female,,
practice,NA,0,apple_1,skip,NaN,10423,k08,1/5/11,3/13/15,4.18630137,14:15,set1,always,female,,
study,Do you think this one is an animal?,1,BI2A00031,maybe NO,-0.5,17447,k08,1/5/11,3/13/15,4.18630137,14:15,set1,always,female,carpet,
study,Do you think this one is an animal?,2,BI2A00030,maybe YES,0.5,24926,k08,1/5/11,3/13/15,4.18630137,14:15,set1,always,female,,
study,Do you think this one is an animal?,3,BI2A00014,NO,NaN,24404,k08,1/5/11,3/13/15,4.18630137,14:15,set1,always,female,no,
study,Do you think this one is an animal?,4,BI2A00003,definitely YES,1.5,15998,k08,1/5/11,3/13/15,4.18630137,14:15,set1,always,female,kitty,
study,Do you think this one is an animal?,5,BI2A00015,NO,NaN,14823,k08,1/5/11,3/13/15,4.18630137,14:15,set1,always,female,no,
study,Do you think this one is an animal?,6,BI2A00043,definitely NO,-1.5,13765,k08,1/5/11,3/13/15,4.18630137,14:15,set1,always,female,ocean,
study,Do you think this one is an animal?,7,BI2A00033,definitely NO,-1.5,18447,k08,1/5/11,3/13/15,4.18630137,14:15,set1,always,female,"mulch, sidewalk",
study,Do you think this one is an animal?,8,BI2A00028,definitely NO,-1.5,20649,k08,1/5/11,3/13/15,4.18630137,14:15,set1,always,female,weird,
study,Do you think this one is an animal?,9,BI2A00046,maybe NO,-0.5,16193,k08,1/5/11,3/13/15,4.18630137,14:15,set1,always,female,picnic basket,
study,Do you think this one is an animal?,10,BI2A00047,definitely NO,-1.5,13093,k08,1/5/11,3/13/15,4.18630137,14:15,set1,always,female,carpet,
study,Do you think this one is an animal?,11,BI2A00020,definitely YES,1.5,14720,k08,1/5/11,3/13/15,4.18630137,14:15,set1,always,female,dog,
study,Do you think this one is an animal?,12,BI2A00008,definitely YES,1.5,13082,k08,1/5/11,3/13/15,4.18630137,14:15,set1,always,female,cat,
bonus,Do you think this one can feel hungry?,13,BI2A00026,YES,NaN,16476,k08,1/5/11,3/13/15,4.18630137,14:15,set1,always,female,,
bonus,Do you think this one has feelings?,14,BI2A00011,NO,NaN,13492,k08,1/5/11,3/13/15,4.18630137,14:15,set1,always,female,elephants,
bonus,Do you think this one can sense things close by?,15,BI2A00046,NO,NaN,12130,k08,1/5/11,3/13/15,4.18630137,14:15,set1,always,female,,
