phase,question,trialNum,swatch,response,responseCoded,rt,subid,dateOfBirth,dateOfTest,age,timeOfTest,condition,englishExposure,gender,trialComments,sessionComments
practice,NA,-3,apple_1,skip,NaN,13675,k11,1/28/10,3/13/15,5.123287671,15:06,set1,always,female,,
practice,NA,-2,apple_2,skip,NaN,2823,k11,1/28/10,3/13/15,5.123287671,15:06,set1,always,female,,
practice,NA,-1,apple_3,skip,NaN,4634,k11,1/28/10,3/13/15,5.123287671,15:06,set1,always,female,,
practice,NA,0,apple_1,skip,NaN,11961,k11,1/28/10,3/13/15,5.123287671,15:06,set1,always,female,,
study,Do you think this one is an animal?,1,BI2A00014,maybe YES,0.5,17969,k11,1/28/10,3/13/15,5.123287671,15:06,set1,always,female,mouse,
study,Do you think this one is an animal?,2,BI2A00046,definitely NO,-1.5,27988,k11,1/28/10,3/13/15,5.123287671,15:06,set1,always,female,basket; because it has diamonds and animals don't have diamonds,
study,Do you think this one is an animal?,3,BI2A00028,maybe YES,0.5,18353,k11,1/28/10,3/13/15,5.123287671,15:06,set1,always,female,mole,
study,Do you think this one is an animal?,4,BI2A00033,definitely NO,-1.5,28086,k11,1/28/10,3/13/15,5.123287671,15:06,set1,always,female,"brown rock, because it looks kind of hard and animals are not",
study,Do you think this one is an animal?,5,BI2A00008,definitely YES,1.5,22362,k11,1/28/10,3/13/15,5.123287671,15:06,set1,always,female,"part of a lion's mane, because it has fur",
study,Do you think this one is an animal?,6,BI2A00031,definitely NO,-1.5,13374,k11,1/28/10,3/13/15,5.123287671,15:06,set1,always,female,carpet,
study,Do you think this one is an animal?,7,BI2A00047,skip,NaN,39184,k11,1/28/10,3/13/15,5.123287671,15:06,set1,always,female,"carpet at home, maybe a sheep wool, I don't know, maybe",
study,Do you think this one is an animal?,8,BI2A00020,definitely YES,1.5,11914,k11,1/28/10,3/13/15,5.123287671,15:06,set1,always,female,"bear's fur, because it has fur",
study,Do you think this one is an animal?,9,BI2A00043,definitely NO,-1.5,43735,k11,1/28/10,3/13/15,5.123287671,15:06,set1,always,female,"looks like maybe a window that's silver, because it has reflection",
study,Do you think this one is an animal?,10,BI2A00003,definitely YES,1.5,16154,k11,1/28/10,3/13/15,5.123287671,15:06,set1,always,female,soft type of porcupine,
study,Do you think this one is an animal?,11,BI2A00030,definitely NO,-1.5,16276,k11,1/28/10,3/13/15,5.123287671,15:06,set1,always,female,type of carpet,
study,Do you think this one is an animal?,12,BI2A00015,definitely YES,1.5,23548,k11,1/28/10,3/13/15,5.123287671,15:06,set1,always,female,animal - not,
bonus,Do you think this one can think?,13,BI2A00011,maybe YES,0.5,34426,k11,1/28/10,3/13/15,5.123287671,15:06,set1,always,female,"armadillo, smart animal",
bonus,Do you think this one can feel happy?,14,BI2A00028,maybe YES,0.5,10155,k11,1/28/10,3/13/15,5.123287671,15:06,set1,always,female,,
bonus,Do you think this one has feelings?,15,BI2A00006,definitely YES,1.5,31211,k11,1/28/10,3/13/15,5.123287671,15:06,set1,always,female,"mad feelings, might be a porcupine, spikes",
bonus,Do you think this one can hear?,16,BI2A00046,definitely NO,-1.5,9120,k11,1/28/10,3/13/15,5.123287671,15:06,set1,always,female,,
bonus,Do you think this one can remember things?,17,BI2A00021,definitely NO,-1.5,22546,k11,1/28/10,3/13/15,5.123287671,15:06,set1,always,female,"because it's not alive, because it looks like a rock",
bonus,Do you think this one can feel pain?,18,BI2A00026,maybe NO,-0.5,35249,k11,1/28/10,3/13/15,5.123287671,15:06,set1,always,female,no if something eats it,
bonus,Do you think this one can sense things close by?,19,BI2A00044,maybe NO,-0.5,28099,k11,1/28/10,3/13/15,5.123287671,15:06,set1,always,female,no,
bonus,Do you think this one can feel hungry?,20,BI2A00037,definitely NO,-1.5,18315,k11,1/28/10,3/13/15,5.123287671,15:06,set1,always,female,"maybe it's food, it's actually",
