phase,question,trialNum,swatch,response,responseCoded,rt,subid,dateOfBirth,dateOfTest,age,timeOfTest,condition,englishExposure,gender,trialComments,sessionComments
practice,NA,-3,apple_1,skip,NaN,13451,k13,8/26/10,3/26/15,4.583561644,10:45,set3,always,f,,
practice,NA,-2,apple_2,skip,NaN,4620,k13,8/26/10,3/26/15,4.583561644,10:45,set3,always,f,,
practice,NA,-1,apple_3,skip,NaN,5652,k13,8/26/10,3/26/15,4.583561644,10:45,set3,always,f,,
practice,NA,0,apple_1,skip,NaN,10506,k13,8/26/10,3/26/15,4.583561644,10:45,set3,always,f,,
study,Do you think this one is an animal?,1,BI2A00018,skip,NaN,28845,k13,8/26/10,3/26/15,4.583561644,10:45,set3,always,f,,
study,Do you think this one is an animal?,2,BI2A00044,NO,NaN,28427,k13,8/26/10,3/26/15,4.583561644,10:45,set3,always,f,,
study,Do you think this one is an animal?,3,BI2A00010,skip,NaN,42283,k13,8/26/10,3/26/15,4.583561644,10:45,set3,always,f,,
study,Do you think this one is an animal?,4,BI2A00035,NO,NaN,22238,k13,8/26/10,3/26/15,4.583561644,10:45,set3,always,f,,
study,Do you think this one is an animal?,5,BI2A00027,skip,NaN,19660,k13,8/26/10,3/26/15,4.583561644,10:45,set3,always,f,,
study,Do you think this one is an animal?,6,BI2A00025,NO,NaN,20463,k13,8/26/10,3/26/15,4.583561644,10:45,set3,always,f,,
study,Do you think this one is an animal?,7,BI2A00036,NO,NaN,12016,k13,8/26/10,3/26/15,4.583561644,10:45,set3,always,f,,
study,Do you think this one is an animal?,8,BI2A00019,YES,NaN,16698,k13,8/26/10,3/26/15,4.583561644,10:45,set3,always,f,,
study,Do you think this one is an animal?,9,BI2A00005,YES,NaN,10507,k13,8/26/10,3/26/15,4.583561644,10:45,set3,always,f,,
study,Do you think this one is an animal?,10,BI2A00017,NO,NaN,8674,k13,8/26/10,3/26/15,4.583561644,10:45,set3,always,f,,
study,Do you think this one is an animal?,11,BI2A00007,skip,NaN,19693,k13,8/26/10,3/26/15,4.583561644,10:45,set3,always,f,,
study,Do you think this one is an animal?,12,BI2A00026,NO,NaN,6237,k13,8/26/10,3/26/15,4.583561644,10:45,set3,always,f,,
