phase,question,trialNum,swatch,response,responseCoded,rt,subid,dateOfBirth,dateOfTest,age,timeOfTest,condition,englishExposure,gender,trialComments,sessionComments
practice,NA,-3,apple_1,skip,NaN,12091,k10,10/8/08,3/13/15,6.430136986,14:57,set4,,female,,no year on consent form; both said 6yo
practice,NA,-2,apple_2,skip,NaN,5919,k10,10/8/08,3/13/15,6.430136986,14:57,set4,,female,,no year on consent form; both said 6yo
practice,NA,-1,apple_3,skip,NaN,25634,k10,10/8/08,3/13/15,6.430136986,14:57,set4,,female,,no year on consent form; both said 6yo
practice,NA,0,apple_1,skip,NaN,11199,k10,10/8/08,3/13/15,6.430136986,14:57,set4,,female,,no year on consent form; both said 6yo
study,Do you think this one is an animal?,1,BI2A00024,definitely YES,1.5,18491,k10,10/8/08,3/13/15,6.430136986,14:57,set4,,female,procupine,no year on consent form; both said 6yo
study,Do you think this one is an animal?,2,BI2A00012,maybe YES,0.5,20357,k10,10/8/08,3/13/15,6.430136986,14:57,set4,,female,challenging,no year on consent form; both said 6yo
study,Do you think this one is an animal?,3,BI2A00021,definitely NO,-1.5,13840,k10,10/8/08,3/13/15,6.430136986,14:57,set4,,female,desert sand,no year on consent form; both said 6yo
study,Do you think this one is an animal?,4,BI2A00039,definitely NO,-1.5,11798,k10,10/8/08,3/13/15,6.430136986,14:57,set4,,female,wood chips,no year on consent form; both said 6yo
study,Do you think this one is an animal?,5,BI2A00009,definitely YES,1.5,14893,k10,10/8/08,3/13/15,6.430136986,14:57,set4,,female,animal; cuz I can see the fur,no year on consent form; both said 6yo
study,Do you think this one is an animal?,6,BI2A00023,maybe NO,-0.5,24471,k10,10/8/08,3/13/15,6.430136986,14:57,set4,,female,challenging,no year on consent form; both said 6yo
study,Do you think this one is an animal?,7,BI2A00042,definitely NO,-1.5,25831,k10,10/8/08,3/13/15,6.430136986,14:57,set4,,female,painted picture; cuz it doesn't have fur or just bare skin,no year on consent form; both said 6yo
study,Do you think this one is an animal?,8,BI2A00029,definitely NO,-1.5,11259,k10,10/8/08,3/13/15,6.430136986,14:57,set4,,female,carpet,no year on consent form; both said 6yo
study,Do you think this one is an animal?,9,BI2A00048,definitely NO,-1.5,10465,k10,10/8/08,3/13/15,6.430136986,14:57,set4,,female,carpet,no year on consent form; both said 6yo
study,Do you think this one is an animal?,10,BI2A00022,definitely YES,1.5,16034,k10,10/8/08,3/13/15,6.430136986,14:57,set4,,female,"animal, cuz I can see the fur",no year on consent form; both said 6yo
study,Do you think this one is an animal?,11,BI2A00001,definitely YES,1.5,6617,k10,10/8/08,3/13/15,6.430136986,14:57,set4,,female,,no year on consent form; both said 6yo
study,Do you think this one is an animal?,12,BI2A00011,definitely YES,1.5,9549,k10,10/8/08,3/13/15,6.430136986,14:57,set4,,female,"elephant, can tell",no year on consent form; both said 6yo
bonus,Do you think this one can feel happy?,13,BI2A00011,definitely YES,1.5,11126,k10,10/8/08,3/13/15,6.430136986,14:57,set4,,female,,no year on consent form; both said 6yo
bonus,Do you think this one has feelings?,14,BI2A00044,definitely NO,-1.5,9378,k10,10/8/08,3/13/15,6.430136986,14:57,set4,,female,,no year on consent form; both said 6yo
bonus,Do you think this one can think?,15,BI2A00028,maybe NO,-0.5,18497,k10,10/8/08,3/13/15,6.430136986,14:57,set4,,female,carpet; actually maybe an animal,no year on consent form; both said 6yo
bonus,Do you think this one can sense things close by?,16,BI2A00026,maybe YES,0.5,14434,k10,10/8/08,3/13/15,6.430136986,14:57,set4,,female,animal,no year on consent form; both said 6yo
bonus,Do you think this one can feel pain?,17,BI2A00037,maybe YES,0.5,13248,k10,10/8/08,3/13/15,6.430136986,14:57,set4,,female,I guess so,no year on consent form; both said 6yo
bonus,Do you think this one can feel hungry?,18,BI2A00021,definitely NO,-1.5,10912,k10,10/8/08,3/13/15,6.430136986,14:57,set4,,female,desert sand,no year on consent form; both said 6yo
bonus,Do you think this one can hear?,19,BI2A00046,definitely NO,-1.5,7634,k10,10/8/08,3/13/15,6.430136986,14:57,set4,,female,,no year on consent form; both said 6yo
bonus,Do you think this one can remember things?,20,BI2A00006,definitely YES,1.5,10974,k10,10/8/08,3/13/15,6.430136986,14:57,set4,,female,guinea pig,no year on consent form; both said 6yo
