phase,question,trialNum,swatch,response,responseCoded,rt,subid,dateOfBirth,dateOfTest,age,timeOfTest,condition,englishExposure,gender,trialComments,sessionComments
practice,NA,-3,apple_1,skip,NaN,11656,k03,8/5/08,3/13/15,6.605479452,11:30,set2,often,female,,
practice,NA,-2,apple_2,skip,NaN,5104,k03,8/5/08,3/13/15,6.605479452,11:30,set2,often,female,,
practice,NA,-1,apple_3,skip,NaN,3394,k03,8/5/08,3/13/15,6.605479452,11:30,set2,often,female,,
practice,NA,0,apple_1,skip,NaN,11077,k03,8/5/08,3/13/15,6.605479452,11:30,set2,often,female,,
study,Do you think this one is an animal?,1,BI2A00045,definitely NO,-1.5,13915,k03,8/5/08,3/13/15,6.605479452,11:30,set2,often,female,,
study,Do you think this one is an animal?,2,BI2A00006,definitely YES,1.5,13854,k03,8/5/08,3/13/15,6.605479452,11:30,set2,often,female,,
study,Do you think this one is an animal?,3,BI2A00040,maybe YES,0.5,16399,k03,8/5/08,3/13/15,6.605479452,11:30,set2,often,female,,
study,Do you think this one is an animal?,4,BI2A00004,definitely YES,1.5,14758,k03,8/5/08,3/13/15,6.605479452,11:30,set2,often,female,real,
study,Do you think this one is an animal?,5,BI2A00041,maybe NO,-0.5,11782,k03,8/5/08,3/13/15,6.605479452,11:30,set2,often,female,,
study,Do you think this one is an animal?,6,BI2A00038,maybe YES,0.5,14258,k03,8/5/08,3/13/15,6.605479452,11:30,set2,often,female,,
study,Do you think this one is an animal?,7,BI2A00032,definitely NO,-1.5,10885,k03,8/5/08,3/13/15,6.605479452,11:30,set2,often,female,,
study,Do you think this one is an animal?,8,BI2A00002,maybe YES,0.5,9027,k03,8/5/08,3/13/15,6.605479452,11:30,set2,often,female,,
study,Do you think this one is an animal?,9,BI2A00013,maybe NO,-0.5,16869,k03,8/5/08,3/13/15,6.605479452,11:30,set2,often,female,,
study,Do you think this one is an animal?,10,BI2A00037,maybe NO,-0.5,12556,k03,8/5/08,3/13/15,6.605479452,11:30,set2,often,female,,
study,Do you think this one is an animal?,11,BI2A00034,definitely NO,-1.5,14883,k03,8/5/08,3/13/15,6.605479452,11:30,set2,often,female,,
study,Do you think this one is an animal?,12,BI2A00016,maybe YES,0.5,10260,k03,8/5/08,3/13/15,6.605479452,11:30,set2,often,female,,
bonus,Do you think this one can feel hungry?,13,BI2A00026,maybe NO,-0.5,19874,k03,8/5/08,3/13/15,6.605479452,11:30,set2,often,female,,
bonus,Do you think this one can hear?,14,BI2A00046,definitely NO,-1.5,10961,k03,8/5/08,3/13/15,6.605479452,11:30,set2,often,female,,
bonus,Do you think this one has feelings?,15,BI2A00037,definitely YES,1.5,17082,k03,8/5/08,3/13/15,6.605479452,11:30,set2,often,female,,
bonus,Do you think this one can remember things?,16,BI2A00011,maybe YES,0.5,10602,k03,8/5/08,3/13/15,6.605479452,11:30,set2,often,female,,
bonus,Do you think this one can feel happy?,17,BI2A00028,maybe NO,-0.5,13269,k03,8/5/08,3/13/15,6.605479452,11:30,set2,often,female,,
bonus,Do you think this one can think?,18,BI2A00006,maybe YES,0.5,10475,k03,8/5/08,3/13/15,6.605479452,11:30,set2,often,female,,
bonus,Do you think this one can sense things close by?,19,BI2A00044,maybe NO,-0.5,14913,k03,8/5/08,3/13/15,6.605479452,11:30,set2,often,female,,
bonus,Do you think this one can feel pain?,20,BI2A00021,maybe NO,-0.5,12174,k03,8/5/08,3/13/15,6.605479452,11:30,set2,often,female,,
