phase,question,trialNum,swatch,response,responseCoded,rt,subid,dateOfBirth,dateOfTest,age,timeOfTest,condition,englishExposure,gender,trialComments,sessionComments
practice,NA,-3,apple_1,skip,NaN,11551,k17,5/13/11,3/26/15,3.871232877,12:29,set2,always,m,,
practice,NA,-2,apple_2,skip,NaN,4658,k17,5/13/11,3/26/15,3.871232877,12:29,set2,always,m,,
practice,NA,-1,apple_3,skip,NaN,4298,k17,5/13/11,3/26/15,3.871232877,12:29,set2,always,m,,
practice,NA,0,apple_1,skip,NaN,13884,k17,5/13/11,3/26/15,3.871232877,12:29,set2,always,m,,
study,Do you think this one is an animal?,1,BI2A00016,definitely YES,1.5,15416,k17,5/13/11,3/26/15,3.871232877,12:29,set2,always,m,,
study,Do you think this one is an animal?,2,BI2A00041,definitely YES,1.5,11439,k17,5/13/11,3/26/15,3.871232877,12:29,set2,always,m,,
study,Do you think this one is an animal?,3,BI2A00034,maybe YES,0.5,10954,k17,5/13/11,3/26/15,3.871232877,12:29,set2,always,m,,
study,Do you think this one is an animal?,4,BI2A00032,definitely NO,-1.5,12578,k17,5/13/11,3/26/15,3.871232877,12:29,set2,always,m,,
study,Do you think this one is an animal?,5,BI2A00004,maybe YES,0.5,9688,k17,5/13/11,3/26/15,3.871232877,12:29,set2,always,m,,
study,Do you think this one is an animal?,6,BI2A00040,definitely NO,-1.5,13981,k17,5/13/11,3/26/15,3.871232877,12:29,set2,always,m,,
study,Do you think this one is an animal?,7,BI2A00002,definitely NO,-1.5,13070,k17,5/13/11,3/26/15,3.871232877,12:29,set2,always,m,,
study,Do you think this one is an animal?,8,BI2A00045,definitely NO,-1.5,13441,k17,5/13/11,3/26/15,3.871232877,12:29,set2,always,m,,
study,Do you think this one is an animal?,9,BI2A00006,definitely YES,1.5,11714,k17,5/13/11,3/26/15,3.871232877,12:29,set2,always,m,,
study,Do you think this one is an animal?,10,BI2A00013,maybe YES,0.5,14401,k17,5/13/11,3/26/15,3.871232877,12:29,set2,always,m,,
study,Do you think this one is an animal?,11,BI2A00038,definitely NO,-1.5,22110,k17,5/13/11,3/26/15,3.871232877,12:29,set2,always,m,,
study,Do you think this one is an animal?,12,BI2A00037,definitely NO,-1.5,14439,k17,5/13/11,3/26/15,3.871232877,12:29,set2,always,m,,
bonus,Do you think this one can hear?,13,BI2A00006,definitely NO,-1.5,13373,k17,5/13/11,3/26/15,3.871232877,12:29,set2,always,m,,
bonus,Do you think this one can feel happy?,14,BI2A00046,maybe YES,0.5,9272,k17,5/13/11,3/26/15,3.871232877,12:29,set2,always,m,,
bonus,Do you think this one can remember things?,15,BI2A00011,maybe YES,0.5,9656,k17,5/13/11,3/26/15,3.871232877,12:29,set2,always,m,,
bonus,Do you think this one can sense things close by?,16,BI2A00028,definitely NO,-1.5,18858,k17,5/13/11,3/26/15,3.871232877,12:29,set2,always,m,,
