phase,question,trialNum,swatch,response,responseCoded,rt,subid,dateOfBirth,dateOfTest,age,timeOfTest,condition,englishExposure,gender,trialComments,sessionComments
practice,NA,1,apple_1,skip,NaN,11918,p11,1/23/10,3/5/15,5.115068493,15:15,set2,,male,,
practice,NA,2,apple_2,skip,NaN,4508,p11,1/23/10,3/5/15,5.115068493,15:15,set2,,male,,
practice,NA,3,apple_3,skip,NaN,3408,p11,1/23/10,3/5/15,5.115068493,15:15,set2,,male,,
practice,NA,4,apple_1,skip,NaN,11092,p11,1/23/10,3/5/15,5.115068493,15:15,set2,,male,,
study,do you think this one is an animal?,5,BI2A00032,YES,NaN,27410,p11,1/23/10,3/5/15,5.115068493,15:15,set2,,male,,
study,do you think this one is an animal?,6,BI2A00034,YES,NaN,17933,p11,1/23/10,3/5/15,5.115068493,15:15,set2,,male,,
study,do you think this one is an animal?,7,BI2A00006,definitely YES,2.5,14619,p11,1/23/10,3/5/15,5.115068493,15:15,set2,,male,,
study,do you think this one is an animal?,8,BI2A00038,maybe YES,0.5,27188,p11,1/23/10,3/5/15,5.115068493,15:15,set2,,male,,
study,do you think this one is an animal?,9,BI2A00037,YES,NaN,18202,p11,1/23/10,3/5/15,5.115068493,15:15,set2,,male,looks like wood or tree,
study,do you think this one is an animal?,10,BI2A00045,NO,NaN,33623,p11,1/23/10,3/5/15,5.115068493,15:15,set2,,male,sheep,
study,do you think this one is an animal?,11,BI2A00004,YES,NaN,15892,p11,1/23/10,3/5/15,5.115068493,15:15,set2,,male,,
study,do you think this one is an animal?,12,BI2A00040,NO,NaN,11471,p11,1/23/10,3/5/15,5.115068493,15:15,set2,,male,hair of animal,
study,do you think this one is an animal?,13,BI2A00013,YES,NaN,15879,p11,1/23/10,3/5/15,5.115068493,15:15,set2,,male,floor,
study,do you think this one is an animal?,14,BI2A00016,YES,NaN,27435,p11,1/23/10,3/5/15,5.115068493,15:15,set2,,male,dog fur,
study,do you think this one is an animal?,15,BI2A00002,YES,NaN,8024,p11,1/23/10,3/5/15,5.115068493,15:15,set2,,male,camel,
study,do you think this one is an animal?,16,BI2A00041,NO,NaN,18384,p11,1/23/10,3/5/15,5.115068493,15:15,set2,,male,fur of zebras,
bonus,Do you think this one can feel pain?,17,BI2A00002,NO,NaN,9639,p11,1/23/10,3/5/15,5.115068493,15:15,set2,,male,a part of a wood of a ƒ,
bonus,Do you think this one can feel hurt?,18,BI2A00034,YES,NaN,10109,p11,1/23/10,3/5/15,5.115068493,15:15,set2,,male,,
bonus,Do you think this one has feelings?,19,BI2A00045,YES,NaN,9727,p11,1/23/10,3/5/15,5.115068493,15:15,set2,,male,,
bonus,Do you think this one can think?,20,BI2A00040,YES,NaN,8128,p11,1/23/10,3/5/15,5.115068493,15:15,set2,,male,,
bonus,Do you think this can feel happy?,21,BI2A00032,YES,NaN,4710,p11,1/23/10,3/5/15,5.115068493,15:15,set2,,male,,
bonus,Do you think this one can feel hungry?,22,BI2A00006,skip,NaN,10987,p11,1/23/10,3/5/15,5.115068493,15:15,set2,,male,maybe,
