phase,question,trialNum,swatch,response,responseCoded,rt,subid,dateOfBirth,dateOfTest,age,timeOfTest,condition,englishExposure,gender,trialComments,sessionComments
practice,NA,-3,apple_1,skip,NaN,792,test,,3/13/15,,11:51,set1,,,,too young - drop
practice,NA,-2,apple_2,skip,NaN,5031,test,,3/13/15,,11:51,set1,,,,too young - drop
practice,NA,-1,apple_3,skip,NaN,2842,test,,3/13/15,,11:51,set1,,,,too young - drop
practice,NA,0,apple_1,skip,NaN,622,test,,3/13/15,,11:51,set1,,,,too young - drop
study,Do you think this one is an animal?,1,BI2A00003,skip,NaN,9606,test,,3/13/15,,11:51,set1,,,,too young - drop
study,Do you think this one is an animal?,2,BI2A00014,skip,NaN,10562,test,,3/13/15,,11:51,set1,,,,too young - drop
